fileName;probScore;xTopLeft;yTopLeft;xDownRight;yDownRight;
jpgImages\video\frames\moana_1080p_2min 302.jpg;0.51;498.20;259.48;644.09;496.18;
jpgImages\video\frames\moana_1080p_2min 303.jpg;0.80;594.52;257.22;703.08;495.53;
jpgImages\video\frames\moana_1080p_2min 303.jpg;0.21;326.19;105.00;663.88;433.46;
jpgImages\video\frames\moana_1080p_2min 304.jpg;0.99;297.25;116.13;523.16;405.94;
jpgImages\video\frames\moana_1080p_2min 304.jpg;0.97;626.77;254.16;728.73;508.72;
jpgImages\video\frames\moana_1080p_2min 305.jpg;0.99;652.65;256.39;746.99;506.31;
jpgImages\video\frames\moana_1080p_2min 305.jpg;0.86;287.12;106.91;525.67;418.56;
jpgImages\video\frames\moana_1080p_2min 306.jpg;0.97;670.15;259.77;768.14;503.58;
jpgImages\video\frames\moana_1080p_2min 307.jpg;0.99;679.63;250.20;776.83;510.33;
jpgImages\video\frames\moana_1080p_2min 307.jpg;0.77;235.74;98.97;502.81;425.06;
jpgImages\video\frames\moana_1080p_2min 308.jpg;0.98;253.16;133.53;527.89;467.17;
jpgImages\video\frames\moana_1080p_2min 308.jpg;0.96;678.79;253.97;778.29;507.83;
jpgImages\video\frames\moana_1080p_2min 309.jpg;0.97;682.65;249.98;780.66;511.23;
jpgImages\video\frames\moana_1080p_2min 309.jpg;0.91;276.63;143.14;519.43;415.21;
jpgImages\video\frames\moana_1080p_2min 310.jpg;1.00;267.61;167.54;536.29;429.83;
jpgImages\video\frames\moana_1080p_2min 310.jpg;0.96;681.08;244.33;833.65;511.21;
jpgImages\video\frames\moana_1080p_2min 311.jpg;0.99;685.58;241.54;819.68;515.53;
jpgImages\video\frames\moana_1080p_2min 311.jpg;0.98;268.82;170.67;597.89;424.69;
jpgImages\video\frames\moana_1080p_2min 312.jpg;0.88;695.27;191.11;1008.27;499.59;
jpgImages\video\frames\moana_1080p_2min 313.jpg;0.64;699.49;183.12;993.33;504.96;
jpgImages\video\frames\moana_1080p_2min 313.jpg;0.59;35.35;47.03;627.26;508.59;
jpgImages\video\frames\moana_1080p_2min 314.jpg;0.63;462.93;33.78;1026.70;502.84;
jpgImages\video\frames\moana_1080p_2min 315.jpg;0.24;405.42;69.81;1019.16;517.99;
jpgImages\video\frames\moana_1080p_2min 316.jpg;0.23;330.62;69.80;961.38;515.20;
jpgImages\video\frames\moana_1080p_2min 317.jpg;0.21;406.71;63.73;1019.69;526.70;
jpgImages\video\frames\moana_1080p_2min 318.jpg;0.54;331.32;68.24;961.28;516.21;
jpgImages\video\frames\moana_1080p_2min 319.jpg;0.46;333.87;69.92;956.27;511.34;
jpgImages\video\frames\moana_1080p_2min 355.jpg;0.99;241.57;59.27;813.36;501.96;
jpgImages\video\frames\moana_1080p_2min 355.jpg;0.56;20.87;78.99;337.93;502.39;
jpgImages\video\frames\moana_1080p_2min 355.jpg;0.26;449.37;62.39;1028.62;516.56;
jpgImages\video\frames\moana_1080p_2min 356.jpg;0.88;31.21;82.82;380.69;500.46;
jpgImages\video\frames\moana_1080p_2min 356.jpg;0.85;267.10;53.66;863.03;506.87;
jpgImages\video\frames\moana_1080p_2min 357.jpg;0.98;59.49;101.52;610.88;510.71;
jpgImages\video\frames\moana_1080p_2min 357.jpg;0.51;257.02;77.59;879.87;518.95;
jpgImages\video\frames\moana_1080p_2min 358.jpg;0.84;54.25;104.17;358.63;507.18;
jpgImages\video\frames\moana_1080p_2min 359.jpg;0.97;426.43;128.13;1006.53;497.47;
jpgImages\video\frames\moana_1080p_2min 359.jpg;0.74;73.23;109.55;592.98;513.62;
jpgImages\video\frames\moana_1080p_2min 360.jpg;0.96;411.40;65.46;967.69;502.46;
jpgImages\video\frames\moana_1080p_2min 360.jpg;0.71;61.44;128.77;597.60;533.42;
jpgImages\video\frames\moana_1080p_2min 361.jpg;0.87;308.11;53.63;869.88;505.09;
jpgImages\video\frames\moana_1080p_2min 361.jpg;0.85;56.12;150.72;612.50;517.15;
jpgImages\video\frames\moana_1080p_2min 362.jpg;0.84;127.23;79.47;665.02;514.96;
jpgImages\video\frames\moana_1080p_2min 362.jpg;0.28;402.74;72.29;1021.37;530.54;
jpgImages\video\frames\moana_1080p_2min 363.jpg;0.88;421.25;95.97;881.67;511.14;
jpgImages\video\frames\moana_1080p_2min 363.jpg;0.28;70.60;89.43;489.04;508.76;
jpgImages\video\frames\moana_1080p_2min 364.jpg;0.95;270.99;142.02;852.90;526.82;
jpgImages\video\frames\moana_1080p_2min 364.jpg;0.85;8.18;75.45;481.34;509.98;
jpgImages\video\frames\moana_1080p_2min 365.jpg;0.96;394.61;149.12;725.04;497.57;
jpgImages\video\frames\moana_1080p_2min 365.jpg;0.85;8.27;76.45;475.65;501.79;
jpgImages\video\frames\moana_1080p_2min 366.jpg;0.97;471.08;129.97;782.29;497.41;
jpgImages\video\frames\moana_1080p_2min 366.jpg;0.70;5.39;70.28;510.65;508.83;
jpgImages\video\frames\moana_1080p_2min 367.jpg;0.88;545.95;124.43;884.45;506.98;
jpgImages\video\frames\moana_1080p_2min 368.jpg;0.95;465.65;103.99;846.35;508.12;
jpgImages\video\frames\moana_1080p_2min 369.jpg;0.90;455.89;129.39;784.03;503.73;
jpgImages\video\frames\moana_1080p_2min 369.jpg;0.77;0.01;111.20;481.79;503.90;
jpgImages\video\frames\moana_1080p_2min 370.jpg;0.85;463.87;144.73;774.82;497.01;
jpgImages\video\frames\moana_1080p_2min 370.jpg;0.34;199.14;113.03;719.02;508.61;
jpgImages\video\frames\moana_1080p_2min 370.jpg;0.22;7.68;195.29;501.44;484.60;
jpgImages\video\frames\moana_1080p_2min 371.jpg;0.91;145.35;60.99;650.64;503.13;
jpgImages\video\frames\moana_1080p_2min 371.jpg;0.72;369.94;52.94;863.50;499.55;
jpgImages\video\frames\moana_1080p_2min 371.jpg;0.62;614.88;181.53;878.11;505.65;
jpgImages\video\frames\moana_1080p_2min 372.jpg;1.00;126.00;86.51;657.97;504.77;
jpgImages\video\frames\moana_1080p_2min 372.jpg;0.99;572.48;181.78;1008.09;498.14;
jpgImages\video\frames\moana_1080p_2min 373.jpg;0.99;116.17;60.78;671.44;519.79;
jpgImages\video\frames\moana_1080p_2min 373.jpg;0.97;638.73;191.02;977.82;495.83;
jpgImages\video\frames\moana_1080p_2min 373.jpg;0.46;315.50;56.68;853.23;480.54;
jpgImages\video\frames\moana_1080p_2min 374.jpg;0.99;66.26;84.81;663.10;521.90;
jpgImages\video\frames\moana_1080p_2min 374.jpg;0.65;637.80;191.69;925.88;503.24;
jpgImages\video\frames\moana_1080p_2min 374.jpg;0.21;316.25;92.23;845.29;506.11;
jpgImages\video\frames\moana_1080p_2min 375.jpg;0.99;98.96;68.90;684.68;520.79;
jpgImages\video\frames\moana_1080p_2min 375.jpg;0.88;647.48;198.21;917.82;496.99;
jpgImages\video\frames\moana_1080p_2min 375.jpg;0.38;340.29;53.09;883.50;493.78;
jpgImages\video\frames\moana_1080p_2min 376.jpg;0.99;145.79;63.57;698.93;521.90;
jpgImages\video\frames\moana_1080p_2min 376.jpg;0.83;656.60;199.00;921.25;496.51;
jpgImages\video\frames\moana_1080p_2min 376.jpg;0.32;421.20;172.13;882.23;503.24;
jpgImages\video\frames\moana_1080p_2min 377.jpg;0.97;659.53;201.20;922.99;495.37;
jpgImages\video\frames\moana_1080p_2min 377.jpg;0.63;90.49;65.64;701.10;489.06;
jpgImages\video\frames\moana_1080p_2min 378.jpg;1.00;111.29;80.55;548.77;476.48;
jpgImages\video\frames\moana_1080p_2min 378.jpg;0.79;618.06;254.35;952.58;502.34;
jpgImages\video\frames\moana_1080p_2min 379.jpg;1.00;43.70;93.91;512.66;490.28;
jpgImages\video\frames\moana_1080p_2min 379.jpg;0.83;635.50;254.85;935.83;499.65;
jpgImages\video\frames\moana_1080p_2min 380.jpg;0.99;84.44;78.95;590.05;473.78;
jpgImages\video\frames\moana_1080p_2min 380.jpg;0.70;635.01;254.40;936.73;499.76;
jpgImages\video\frames\moana_1080p_2min 381.jpg;0.91;634.69;258.93;937.29;496.45;
jpgImages\video\frames\moana_1080p_2min 381.jpg;0.53;87.73;91.90;583.03;523.53;
jpgImages\video\frames\moana_1080p_2min 382.jpg;0.89;78.74;61.59;597.75;487.93;
jpgImages\video\frames\moana_1080p_2min 382.jpg;0.79;639.97;264.08;932.52;494.47;
jpgImages\video\frames\moana_1080p_2min 383.jpg;0.94;695.72;261.58;928.05;496.78;
jpgImages\video\frames\moana_1080p_2min 383.jpg;0.76;86.02;95.32;595.48;521.27;
jpgImages\video\frames\moana_1080p_2min 384.jpg;0.99;710.88;258.51;932.47;496.25;
jpgImages\video\frames\moana_1080p_2min 384.jpg;0.85;86.50;64.84;588.21;478.11;
jpgImages\video\frames\moana_1080p_2min 385.jpg;0.99;114.72;95.81;569.13;519.27;
jpgImages\video\frames\moana_1080p_2min 385.jpg;0.98;712.80;259.31;933.60;494.83;
jpgImages\video\frames\moana_1080p_2min 386.jpg;0.99;202.67;111.34;616.10;500.04;
jpgImages\video\frames\moana_1080p_2min 386.jpg;0.98;712.65;261.71;925.70;491.21;
jpgImages\video\frames\moana_1080p_2min 387.jpg;0.90;697.87;259.46;919.06;492.87;
jpgImages\video\frames\moana_1080p_2min 387.jpg;0.66;238.25;155.59;631.86;501.10;
jpgImages\video\frames\moana_1080p_2min 388.jpg;1.00;199.84;110.06;660.39;509.01;
jpgImages\video\frames\moana_1080p_2min 388.jpg;0.71;623.16;250.50;882.94;504.06;
jpgImages\video\frames\moana_1080p_2min 389.jpg;0.99;215.66;148.72;645.91;501.66;
jpgImages\video\frames\moana_1080p_2min 390.jpg;0.96;235.45;152.20;622.82;501.66;
jpgImages\video\frames\moana_1080p_2min 390.jpg;0.71;686.95;245.65;870.46;490.91;
jpgImages\video\frames\moana_1080p_2min 401.jpg;0.69;227.81;58.20;814.67;528.53;
jpgImages\video\frames\moana_1080p_2min 402.jpg;0.99;229.24;86.62;631.32;481.64;
jpgImages\video\frames\moana_1080p_2min 403.jpg;1.00;190.15;110.97;689.40;506.13;
jpgImages\video\frames\moana_1080p_2min 404.jpg;1.00;195.52;119.24;660.13;492.05;
jpgImages\video\frames\moana_1080p_2min 405.jpg;0.99;136.67;98.12;673.07;497.70;
jpgImages\video\frames\moana_1080p_2min 406.jpg;0.59;147.01;67.83;705.37;481.63;
jpgImages\video\frames\moana_1080p_2min 407.jpg;0.87;146.77;275.02;725.80;506.41;
jpgImages\video\frames\moana_1080p_2min 407.jpg;0.34;467.84;50.33;1018.71;528.97;
jpgImages\video\frames\moana_1080p_2min 410.jpg;0.98;369.92;224.74;606.21;467.06;
jpgImages\video\frames\moana_1080p_2min 411.jpg;0.96;373.17;101.71;670.52;482.87;
jpgImages\video\frames\moana_1080p_2min 412.jpg;1.00;383.31;142.65;681.62;478.65;
jpgImages\video\frames\moana_1080p_2min 413.jpg;1.00;381.76;125.98;679.05;483.54;
jpgImages\video\frames\moana_1080p_2min 414.jpg;0.98;369.74;128.84;678.01;485.26;
jpgImages\video\frames\moana_1080p_2min 415.jpg;1.00;369.20;142.63;675.26;477.49;
jpgImages\video\frames\moana_1080p_2min 416.jpg;1.00;370.35;137.79;678.63;479.65;
jpgImages\video\frames\moana_1080p_2min 417.jpg;1.00;280.93;112.48;724.93;504.00;
jpgImages\video\frames\moana_1080p_2min 418.jpg;0.99;296.31;114.84;751.08;507.01;
jpgImages\video\frames\moana_1080p_2min 419.jpg;1.00;193.86;171.52;674.65;500.80;
jpgImages\video\frames\moana_1080p_2min 420.jpg;0.93;138.24;95.68;785.68;506.91;
jpgImages\video\frames\moana_1080p_2min 421.jpg;0.97;276.46;70.36;832.71;481.65;
jpgImages\video\frames\moana_1080p_2min 421.jpg;0.71;610.84;84.88;1016.89;508.02;
jpgImages\video\frames\moana_1080p_2min 421.jpg;0.44;15.67;41.36;531.60;503.82;
jpgImages\video\frames\moana_1080p_2min 422.jpg;0.82;611.93;123.44;1004.35;483.89;
jpgImages\video\frames\moana_1080p_2min 422.jpg;0.35;335.35;69.42;956.44;514.50;
jpgImages\video\frames\moana_1080p_2min 423.jpg;0.96;350.07;69.97;947.54;517.20;
jpgImages\video\frames\moana_1080p_2min 423.jpg;0.28;7.21;60.31;593.19;527.20;
jpgImages\video\frames\moana_1080p_2min 425.jpg;0.88;321.81;127.68;594.57;408.56;
jpgImages\video\frames\moana_1080p_2min 426.jpg;0.99;357.11;193.01;574.09;422.14;
jpgImages\video\frames\moana_1080p_2min 427.jpg;0.92;520.18;203.35;1028.29;506.24;
jpgImages\video\frames\moana_1080p_2min 428.jpg;0.96;502.79;206.21;1046.52;505.89;
jpgImages\video\frames\moana_1080p_2min 431.jpg;0.30;129.56;51.50;666.63;494.42;
jpgImages\video\frames\moana_1080p_2min 432.jpg;0.98;253.12;122.66;734.71;500.61;
jpgImages\video\frames\moana_1080p_2min 433.jpg;0.86;243.76;89.77;792.98;513.66;
jpgImages\video\frames\moana_1080p_2min 434.jpg;0.99;210.33;115.55;761.94;509.50;
jpgImages\video\frames\moana_1080p_2min 435.jpg;0.96;257.64;117.85;784.97;505.07;
jpgImages\video\frames\moana_1080p_2min 436.jpg;0.99;239.75;126.35;752.79;502.24;
jpgImages\video\frames\moana_1080p_2min 437.jpg;1.00;293.55;93.96;834.63;505.40;
jpgImages\video\frames\moana_1080p_2min 441.jpg;0.36;379.15;121.04;620.94;503.17;
jpgImages\video\frames\moana_1080p_2min 442.jpg;0.94;376.10;268.14;634.73;485.94;
jpgImages\video\frames\moana_1080p_2min 443.jpg;0.86;345.56;286.75;659.15;498.87;
jpgImages\video\frames\moana_1080p_2min 444.jpg;0.78;537.40;250.54;622.59;427.71;
jpgImages\video\frames\moana_1080p_2min 454.jpg;0.79;18.32;85.76;643.62;513.02;
jpgImages\video\frames\moana_1080p_2min 455.jpg;1.00;221.47;114.72;711.07;494.25;
jpgImages\video\frames\moana_1080p_2min 456.jpg;0.97;272.71;92.09;844.69;512.35;
jpgImages\video\frames\moana_1080p_2min 457.jpg;1.00;212.83;109.46;763.64;505.44;
jpgImages\video\frames\moana_1080p_2min 458.jpg;0.98;263.76;104.16;793.87;508.50;
jpgImages\video\frames\moana_1080p_2min 459.jpg;0.99;239.80;124.62;757.94;499.13;
jpgImages\video\frames\moana_1080p_2min 461.jpg;0.49;500.12;228.74;685.51;444.20;
jpgImages\video\frames\moana_1080p_2min 462.jpg;0.93;395.70;95.77;580.21;293.15;
jpgImages\video\frames\moana_1080p_2min 463.jpg;0.76;498.48;136.29;665.81;391.92;
jpgImages\video\frames\moana_1080p_2min 465.jpg;0.95;278.82;327.20;515.07;494.73;
jpgImages\video\frames\moana_1080p_2min 466.jpg;0.33;436.41;152.05;662.92;464.70;
jpgImages\video\frames\moana_1080p_2min 468.jpg;0.89;372.33;213.36;637.03;413.10;
jpgImages\video\frames\moana_1080p_2min 469.jpg;0.71;344.33;89.95;716.12;320.26;
jpgImages\video\frames\moana_1080p_2min 470.jpg;1.00;354.63;161.82;641.32;471.39;
jpgImages\video\frames\moana_1080p_2min 471.jpg;1.00;324.29;159.18;659.29;457.22;
jpgImages\video\frames\moana_1080p_2min 472.jpg;0.99;355.46;138.57;716.05;454.54;
jpgImages\video\frames\moana_1080p_2min 473.jpg;0.97;343.64;147.53;716.26;458.34;
jpgImages\video\frames\moana_1080p_2min 475.jpg;0.72;235.46;73.65;752.95;477.92;
jpgImages\video\frames\moana_1080p_2min 476.jpg;0.96;244.55;65.25;699.26;486.99;
jpgImages\video\frames\moana_1080p_2min 477.jpg;0.80;277.74;82.86;785.45;523.18;
jpgImages\video\frames\moana_1080p_2min 478.jpg;0.96;274.51;119.53;728.48;504.79;
jpgImages\video\frames\moana_1080p_2min 481.jpg;0.98;10.98;92.69;567.85;503.96;
jpgImages\video\frames\moana_1080p_2min 481.jpg;0.97;227.18;75.47;823.98;482.34;
jpgImages\video\frames\moana_1080p_2min 481.jpg;0.58;503.99;77.94;984.63;459.30;
jpgImages\video\frames\moana_1080p_2min 482.jpg;0.99;13.61;71.65;598.35;516.19;
jpgImages\video\frames\moana_1080p_2min 482.jpg;0.97;257.21;58.27;859.43;497.72;
jpgImages\video\frames\moana_1080p_2min 483.jpg;1.00;15.86;84.09;592.42;510.74;
jpgImages\video\frames\moana_1080p_2min 483.jpg;0.92;306.91;66.33;877.32;483.38;
jpgImages\video\frames\moana_1080p_2min 484.jpg;0.60;406.87;46.12;1018.12;507.02;
jpgImages\video\frames\moana_1080p_2min 485.jpg;0.85;31.77;80.00;524.63;520.07;
jpgImages\video\frames\moana_1080p_2min 485.jpg;0.80;183.42;48.65;795.33;537.81;
jpgImages\video\frames\moana_1080p_2min 485.jpg;0.52;447.78;93.80;1042.44;502.09;
jpgImages\video\frames\moana_1080p_2min 486.jpg;0.90;191.62;44.46;789.61;510.48;
jpgImages\video\frames\moana_1080p_2min 486.jpg;0.84;420.00;51.12;1006.11;504.10;
jpgImages\video\frames\moana_1080p_2min 487.jpg;0.93;218.81;40.41;820.92;508.09;
jpgImages\video\frames\moana_1080p_2min 487.jpg;0.74;446.92;52.60;1044.59;495.48;
jpgImages\video\frames\moana_1080p_2min 487.jpg;0.55;30.81;56.55;519.52;505.01;
jpgImages\video\frames\moana_1080p_2min 488.jpg;0.98;190.59;60.84;794.03;481.96;
jpgImages\video\frames\moana_1080p_2min 488.jpg;0.63;2.06;59.45;553.60;540.91;
jpgImages\video\frames\moana_1080p_2min 499.jpg;1.00;188.88;69.21;736.89;517.32;
jpgImages\video\frames\moana_1080p_2min 499.jpg;0.65;84.13;260.34;399.77;511.95;
jpgImages\video\frames\moana_1080p_2min 500.jpg;1.00;236.65;67.08;740.48;493.05;
jpgImages\video\frames\moana_1080p_2min 500.jpg;0.64;105.01;282.69;373.92;504.48;
jpgImages\video\frames\moana_1080p_2min 500.jpg;0.30;24.88;88.92;341.34;500.84;
jpgImages\video\frames\moana_1080p_2min 501.jpg;1.00;179.99;55.67;734.09;503.43;
jpgImages\video\frames\moana_1080p_2min 501.jpg;0.69;90.68;274.12;389.30;505.93;
jpgImages\video\frames\moana_1080p_2min 502.jpg;0.98;214.36;57.13;761.42;494.06;
jpgImages\video\frames\moana_1080p_2min 503.jpg;1.00;222.23;49.79;759.85;496.50;
jpgImages\video\frames\moana_1080p_2min 503.jpg;0.61;44.67;129.28;366.04;479.24;
jpgImages\video\frames\moana_1080p_2min 504.jpg;1.00;554.43;84.52;955.49;499.00;
jpgImages\video\frames\moana_1080p_2min 504.jpg;0.66;0.71;82.31;410.98;509.62;
jpgImages\video\frames\moana_1080p_2min 505.jpg;1.00;558.65;86.31;951.35;496.51;
jpgImages\video\frames\moana_1080p_2min 505.jpg;0.79;3.08;66.91;360.39;513.11;
jpgImages\video\frames\moana_1080p_2min 505.jpg;0.34;56.82;32.53;659.12;501.02;
jpgImages\video\frames\moana_1080p_2min 506.jpg;1.00;555.82;84.92;956.06;497.78;
jpgImages\video\frames\moana_1080p_2min 506.jpg;0.50;17.16;37.15;644.36;505.15;
jpgImages\video\frames\moana_1080p_2min 509.jpg;0.89;943.23;364.85;1025.53;493.17;
jpgImages\video\frames\moana_1080p_2min 514.jpg;0.23;144.35;398.94;269.47;504.68;
jpgImages\video\frames\moana_1080p_2min 517.jpg;0.20;690.68;354.70;818.87;496.66;
jpgImages\video\frames\moana_1080p_2min 518.jpg;0.40;33.19;359.81;138.08;489.96;
jpgImages\video\frames\moana_1080p_2min 519.jpg;0.22;858.23;365.05;961.64;494.68;
jpgImages\video\frames\moana_1080p_2min 522.jpg;0.79;537.97;181.35;1024.01;489.49;
jpgImages\video\frames\moana_1080p_2min 523.jpg;0.95;442.86;80.10;985.88;478.10;
jpgImages\video\frames\moana_1080p_2min 524.jpg;0.98;504.99;99.79;1039.83;502.63;
jpgImages\video\frames\moana_1080p_2min 525.jpg;0.96;460.71;98.00;1031.46;509.91;
jpgImages\video\frames\moana_1080p_2min 526.jpg;0.98;387.15;64.64;867.65;487.49;
jpgImages\video\frames\moana_1080p_2min 527.jpg;0.93;180.07;91.31;743.78;509.07;
jpgImages\video\frames\moana_1080p_2min 528.jpg;0.93;100.86;212.58;636.82;511.92;
jpgImages\video\frames\moana_1080p_2min 529.jpg;0.96;220.40;104.33;636.43;497.92;
jpgImages\video\frames\moana_1080p_2min 529.jpg;0.93;880.39;244.88;1025.44;501.94;
jpgImages\video\frames\moana_1080p_2min 530.jpg;1.00;879.05;233.87;1027.74;491.35;
jpgImages\video\frames\moana_1080p_2min 530.jpg;0.98;159.49;99.91;647.59;498.05;
jpgImages\video\frames\moana_1080p_2min 531.jpg;1.00;842.25;237.31;1006.59;501.58;
jpgImages\video\frames\moana_1080p_2min 531.jpg;0.99;106.48;130.64;631.58;488.58;
jpgImages\video\frames\moana_1080p_2min 532.jpg;0.93;836.54;239.17;1000.88;500.08;
jpgImages\video\frames\moana_1080p_2min 532.jpg;0.85;162.08;124.05;633.72;495.73;
jpgImages\video\frames\moana_1080p_2min 532.jpg;0.28;434.54;49.28;1054.19;507.56;
jpgImages\video\frames\moana_1080p_2min 533.jpg;1.00;740.17;233.31;941.68;500.79;
jpgImages\video\frames\moana_1080p_2min 533.jpg;0.91;75.42;92.94;658.98;518.58;
jpgImages\video\frames\moana_1080p_2min 534.jpg;0.92;94.76;85.36;568.87;508.73;
jpgImages\video\frames\moana_1080p_2min 534.jpg;0.81;693.90;264.92;931.10;494.14;
jpgImages\video\frames\moana_1080p_2min 535.jpg;0.97;2.26;164.13;484.33;511.33;
jpgImages\video\frames\moana_1080p_2min 535.jpg;0.82;683.90;237.45;860.20;493.60;
jpgImages\video\frames\moana_1080p_2min 536.jpg;1.00;13.28;161.77;469.53;504.21;
jpgImages\video\frames\moana_1080p_2min 536.jpg;0.95;633.67;256.56;825.47;499.78;
jpgImages\video\frames\moana_1080p_2min 537.jpg;0.99;74.06;150.77;541.20;507.02;
jpgImages\video\frames\moana_1080p_2min 537.jpg;0.97;622.39;213.30;795.10;500.38;
jpgImages\video\frames\moana_1080p_2min 538.jpg;1.00;590.82;233.61;774.34;500.54;
jpgImages\video\frames\moana_1080p_2min 538.jpg;0.98;28.18;103.80;519.42;493.41;
jpgImages\video\frames\moana_1080p_2min 539.jpg;1.00;561.82;217.38;724.85;497.99;
jpgImages\video\frames\moana_1080p_2min 540.jpg;0.73;501.91;279.23;736.50;497.55;
jpgImages\video\frames\moana_1080p_2min 540.jpg;0.28;5.31;73.50;353.93;504.29;
jpgImages\video\frames\moana_1080p_2min 541.jpg;0.98;508.61;233.58;668.58;501.47;
jpgImages\video\frames\moana_1080p_2min 542.jpg;1.00;730.03;100.44;1020.55;483.81;
jpgImages\video\frames\moana_1080p_2min 542.jpg;0.99;467.31;243.03;650.85;507.16;
jpgImages\video\frames\moana_1080p_2min 542.jpg;0.50;3.32;58.88;432.53;500.65;
jpgImages\video\frames\moana_1080p_2min 542.jpg;0.22;586.67;107.33;793.45;509.05;
jpgImages\video\frames\moana_1080p_2min 543.jpg;1.00;445.31;222.86;591.02;502.41;
jpgImages\video\frames\moana_1080p_2min 543.jpg;1.00;725.45;111.00;1029.87;490.72;
jpgImages\video\frames\moana_1080p_2min 543.jpg;0.91;625.02;115.47;816.16;505.09;
jpgImages\video\frames\moana_1080p_2min 543.jpg;0.81;4.48;56.99;493.90;503.34;
jpgImages\video\frames\moana_1080p_2min 544.jpg;0.96;608.71;81.58;1020.82;502.22;
jpgImages\video\frames\moana_1080p_2min 544.jpg;0.94;446.23;223.76;587.34;508.02;
jpgImages\video\frames\moana_1080p_2min 544.jpg;0.72;11.22;53.17;522.49;507.15;
jpgImages\video\frames\moana_1080p_2min 545.jpg;0.99;441.83;248.09;592.89;505.11;
jpgImages\video\frames\moana_1080p_2min 545.jpg;0.98;669.07;95.49;1023.90;506.61;
jpgImages\video\frames\moana_1080p_2min 545.jpg;0.35;1.80;44.11;548.86;515.25;
jpgImages\video\frames\moana_1080p_2min 546.jpg;0.86;333.09;240.73;596.29;505.98;
jpgImages\video\frames\moana_1080p_2min 546.jpg;0.43;545.76;79.34;1015.31;512.12;
jpgImages\video\frames\moana_1080p_2min 546.jpg;0.41;52.22;60.24;612.13;520.28;
jpgImages\video\frames\moana_1080p_2min 547.jpg;0.87;439.10;286.70;596.74;495.46;
jpgImages\video\frames\moana_1080p_2min 547.jpg;0.37;597.23;90.74;1034.92;507.54;
jpgImages\video\frames\moana_1080p_2min 548.jpg;0.96;712.15;150.42;1026.45;508.51;
jpgImages\video\frames\moana_1080p_2min 548.jpg;0.96;458.86;268.89;607.09;502.75;
jpgImages\video\frames\moana_1080p_2min 548.jpg;0.23;83.45;45.26;644.65;513.62;
jpgImages\video\frames\moana_1080p_2min 549.jpg;0.96;441.77;250.40;601.97;509.47;
jpgImages\video\frames\moana_1080p_2min 550.jpg;0.97;466.47;270.86;601.55;487.39;
jpgImages\video\frames\moana_1080p_2min 551.jpg;0.65;334.57;233.04;599.54;500.31;
jpgImages\video\frames\moana_1080p_2min 552.jpg;0.96;442.77;252.82;622.54;492.23;
jpgImages\video\frames\moana_1080p_2min 552.jpg;0.29;262.72;63.60;526.72;492.70;
jpgImages\video\frames\moana_1080p_2min 553.jpg;0.98;476.97;261.04;646.66;496.74;
jpgImages\video\frames\moana_1080p_2min 553.jpg;0.36;6.05;125.80;308.26;471.69;
jpgImages\video\frames\moana_1080p_2min 554.jpg;0.99;441.74;278.75;628.03;496.30;
jpgImages\video\frames\moana_1080p_2min 555.jpg;0.92;423.24;220.67;623.69;495.62;
jpgImages\video\frames\moana_1080p_2min 556.jpg;1.00;421.90;232.75;585.53;501.43;
jpgImages\video\frames\moana_1080p_2min 556.jpg;0.22;438.28;46.20;991.41;503.91;
jpgImages\video\frames\moana_1080p_2min 557.jpg;1.00;441.96;223.86;595.16;501.33;
jpgImages\video\frames\moana_1080p_2min 557.jpg;0.55;523.07;73.76;1037.58;512.68;
jpgImages\video\frames\moana_1080p_2min 558.jpg;0.89;944.95;294.16;1025.06;457.35;
jpgImages\video\frames\moana_1080p_2min 558.jpg;0.83;532.79;259.69;722.73;433.90;
jpgImages\video\frames\moana_1080p_2min 559.jpg;0.91;484.86;262.80;688.33;432.67;
jpgImages\video\frames\moana_1080p_2min 559.jpg;0.47;921.15;290.82;992.42;448.00;
jpgImages\video\frames\moana_1080p_2min 560.jpg;0.94;472.48;259.37;657.01;435.85;
jpgImages\video\frames\moana_1080p_2min 560.jpg;0.78;894.64;292.09;953.24;441.93;
jpgImages\video\frames\moana_1080p_2min 561.jpg;0.95;386.01;276.29;587.39;447.93;
jpgImages\video\frames\moana_1080p_2min 561.jpg;0.84;846.55;283.03;912.01;445.93;
jpgImages\video\frames\moana_1080p_2min 562.jpg;0.95;812.19;287.88;875.18;450.71;
jpgImages\video\frames\moana_1080p_2min 563.jpg;0.75;782.71;284.98;849.28;446.24;
jpgImages\video\frames\moana_1080p_2min 564.jpg;0.85;771.90;283.71;839.49;448.77;
jpgImages\video\frames\moana_1080p_2min 565.jpg;0.99;758.51;282.36;826.41;451.60;
jpgImages\video\frames\moana_1080p_2min 565.jpg;0.90;297.06;263.07;490.28;447.74;
jpgImages\video\frames\moana_1080p_2min 566.jpg;0.97;749.58;284.99;818.08;451.00;
jpgImages\video\frames\moana_1080p_2min 567.jpg;0.71;749.64;289.01;814.70;449.41;
jpgImages\video\frames\moana_1080p_2min 568.jpg;0.44;757.32;294.21;820.07;458.84;
jpgImages\video\frames\moana_1080p_2min 574.jpg;0.84;328.25;130.81;733.22;483.14;
jpgImages\video\frames\moana_1080p_2min 575.jpg;0.98;186.39;51.12;675.46;496.53;
jpgImages\video\frames\moana_1080p_2min 579.jpg;0.37;595.29;73.62;1019.78;503.52;
