fileName;probScore;xTopLeft;yTopLeft;xDownRight;yDownRight;
jpgImages\video\frames\moana_1080p_2min 153.jpg;1.00;274.67;115.45;897.93;498.54;
jpgImages\video\frames\moana_1080p_2min 154.jpg;0.99;114.77;93.78;489.80;492.69;
jpgImages\video\frames\moana_1080p_2min 154.jpg;0.99;448.08;120.89;858.34;508.50;
jpgImages\video\frames\moana_1080p_2min 155.jpg;0.99;72.81;83.54;479.90;498.69;
jpgImages\video\frames\moana_1080p_2min 155.jpg;0.96;470.53;142.32;843.74;479.46;
jpgImages\video\frames\moana_1080p_2min 156.jpg;0.99;51.98;83.03;477.76;497.40;
jpgImages\video\frames\moana_1080p_2min 156.jpg;0.96;459.06;76.01;848.80;479.07;
jpgImages\video\frames\moana_1080p_2min 157.jpg;0.98;28.20;75.17;444.27;504.94;
jpgImages\video\frames\moana_1080p_2min 157.jpg;0.91;481.29;115.40;769.30;487.08;
jpgImages\video\frames\moana_1080p_2min 157.jpg;0.47;215.10;83.43;713.48;470.91;
jpgImages\video\frames\moana_1080p_2min 158.jpg;0.98;493.33;107.89;882.39;485.32;
jpgImages\video\frames\moana_1080p_2min 158.jpg;0.96;16.47;68.52;378.03;514.28;
jpgImages\video\frames\moana_1080p_2min 159.jpg;0.95;453.60;133.56;857.46;488.93;
jpgImages\video\frames\moana_1080p_2min 159.jpg;0.82;2.10;78.24;298.36;515.11;
jpgImages\video\frames\moana_1080p_2min 160.jpg;0.91;442.85;123.93;801.80;493.83;
jpgImages\video\frames\moana_1080p_2min 160.jpg;0.56;3.00;73.22;154.88;511.11;
jpgImages\video\frames\moana_1080p_2min 161.jpg;0.96;395.95;127.03;794.45;493.41;
jpgImages\video\frames\moana_1080p_2min 162.jpg;0.98;393.48;107.95;791.62;500.30;
jpgImages\video\frames\moana_1080p_2min 163.jpg;0.78;386.28;117.00;975.68;486.16;
jpgImages\video\frames\moana_1080p_2min 163.jpg;0.43;163.56;78.07;755.42;523.81;
jpgImages\video\frames\moana_1080p_2min 164.jpg;0.70;433.90;77.76;881.96;485.27;
jpgImages\video\frames\moana_1080p_2min 166.jpg;0.99;461.24;96.29;803.94;439.00;
jpgImages\video\frames\moana_1080p_2min 167.jpg;0.99;457.18;84.48;777.47;453.20;
jpgImages\video\frames\moana_1080p_2min 168.jpg;0.96;378.90;75.39;752.25;474.25;
jpgImages\video\frames\moana_1080p_2min 169.jpg;1.00;343.31;86.16;760.78;465.53;
